pid|parent_pid|cpu_use_percent|mem_use_percent|mem_use_bytes|name|command|read_bytes_per_sec|write_bytes_per_sec|total_read_bytes|total_write_bytes|process_state|process_state_char|uid
575|452|0|0.7436261591983035|261640192|Code Helper (Renderer)|/Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --disable-color-correct-rendering --field-trial-handle=1718379636,12613057910318958120,7186265368457246828,131072 --disable-features=CookiesWithoutSameSiteMustBeSecure,SameSiteByDefaultCookies,SpareRendererForSitePerProcess,WindowCaptureMacV2 --lang=en-US --user-data-dir=/Users/fdncred/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --no-sandbox --no-zygote --node-integration-in-worker --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --no-v8-untrusted-code-mitigations --shared-files --vscode-window-config=vscode:482783b2-16f6-4793-b405-09e92dbb5982 --vscode-window-kind=shared-process|0|0|26296320|118153216|Runnable|R|501
522|1|0|0.05101901533707853|17950720|ImageIOXPCService|/System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService|0|0|1626112|0|Runnable|R|501
508|1|0|0.04987523478787877|17548288|iCloudNotificationAgent|/System/Library/PrivateFrameworks/iCloudNotification.framework/iCloudNotificationAgent|0|0|1437696|598016|Runnable|R|501
481|1|0|0.06117625227526473|21524480|useractivityd|/System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd|0|0|917504|0|Runnable|R|501
33706|1|0|0.7853494109879418|276320256|com.apple.WebKit.WebContent|/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent|0|0|1576960|1130496|Runnable|R|501
13610|1|0|0.06370537516904233|22414336|OSDUIHelper|/System/Library/CoreServices/OSDUIHelper.app/Contents/MacOS/OSDUIHelper|0|0|167936|0|Runnable|R|501
132|0|0|0|0|AppleCredentialManagerDaemon|AppleCredentialManagerDaemon|0|0|0|0|Unknown|?|0
19149|1|0|1.548335438413413|544772096|com.apple.WebKit.WebContent|/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent|0|0|1269760|2834432|Runnable|R|501
548|1|0|0.04629837398643727|16289792|BlockerSocialExtension|/Applications/AdGuard for Safari.app/Contents/PlugIns/BlockerSocialExtension.appex/Contents/MacOS/BlockerSocialExtension -AppleLanguages ("en-US")|0|0|0|0|Runnable|R|501
233|0|0|0|0|lsd|lsd|0|0|0|0|Unknown|?|0
449|1|0|0.09670038811122483|34023424|photolibraryd|/System/Library/PrivateFrameworks/PhotoLibraryServices.framework/Versions/A/Support/photolibraryd|0|0|100093952|675840|Runnable|R|501
487|1|0|0.04567846239106946|16071680|CallHistoryPluginHelper|/System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHistoryPluginHelper|0|0|1077248|98304|Runnable|R|501
881|1|0|0.0319472750345186|11240448|MessagesBlastDoorService|/System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService|0|0|249856|0|Runnable|R|501
882|1|0|0.034950790369821794|12297216|recentsd|/System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd|0|0|3526656|4096|Runnable|R|501
674|1|0|0.040529994728132096|14260224|AssetCacheLocatorService|/System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a|0|0|307200|28672|Runnable|R|501
500|1|0|0.12316450142896898|43334656|UIKitSystem|/System/Library/CoreServices/UIKitSystem.app/Contents/MacOS/UIKitSystem system_app_start|0|0|2269184|4096|Runnable|R|501
466|1|0|0.1608830661048696|56605696|CalendarAgent|/System/Library/PrivateFrameworks/CalendarAgent.framework/Executables/CalendarAgent|0|0|13381632|10170368|Runnable|R|501
